,exp_id2,exp_id1,internal_id
,685597,598179,1
,605903,598250,2
,605905,598389,3
,605910,598398,4
,605911,598383,5
,605913,598429,6
,605914,598279,7
,605915,598286,8
,605918,598226,9
,605923,598258,10
,605929,597942,11
,605934,598364,12
,605939,598223,13
,605942,598162,14
,605943,597953,15
,605945,598221,16
,605947,598240,17
,605957,598328,18
,605959,598289,19
,605961,598384,20
,605963,598330,21
,605965,598323,22
,605966,598281,23
,605967,598008,24
,605974,598428,25
,605975,598203,26
,605977,598300,27
,605992,598264,28
,605980,598311,29
,605983,598178,30
,605984,598243,31
,605993,597947,32
,605991,598144,33
,605995,598161,34
,605996,598207,35
,605998,598180,36
,606000,598202,37
,606001,598265,38
,606006,598219,39
,606011,598337,40
,606012,598198,41
,606014,598242,42
,606026,598253,43
,606031,598339,44
,606035,598232,45
,606032,598269,46
,606043,598187,47
,606053,598297,48
,606059,598285,49
,606061,598390,50
,606067,598294,51
,606049,598293,52
,606072,598238,53
,606102,598307,54
,606176,598194,55
,606308,598205,56
,606397,598193,57
,606450,598114,58
,606538,597971,59
,606725,598224,60
,606721,597956,61
,606787,598138,62
,607149,598235,63
,607147,598276,64
,607174,598288,65
,607228,598327,66
,607342,598283,67
,607359,598166,68
,607794,598430,69
,608257,597946,70
,608386,598255,71
,608451,598287,72
,608677,598394,73
,608698,597970,74
,608721,598244,75
,608855,597978,76
,608852,598267,77
,609156,598175,78
,609293,598333,79
,609434,598123,80
,609993,598211,81
,610446,598321,82
,610696,598259,83
,610698,598108,84
,614462,597954,85
,617222,598272,86
,622920,598143,87
,632806,598302,88
,651231,598204,89
,651320,598324,90