block,trial_id,song_id,orig_or_cover
main task 1,1,2008_2,cover
main task 1,2,2008_3,cover
main task 1,3,2009_2,orig
main task 1,4,2009_3,orig
main task 1,5,2010_1,cover
main task 1,6,2010_2,cover
main task 1,7,2010_3,cover
main task 1,8,2011_1,cover
main task 1,9,2011_2,cover
main task 1,10,2011_3,orig
main task 1,11,2011_4,orig
main task 1,12,2012_1,cover
main task 1,13,2012_2,cover
main task 1,14,2012_3,orig
main task 1,15,2012_4,cover
main task 1,16,2012_5,orig
main task 1,17,2013_1,orig
main task 1,18,2013_2,cover
main task 1,19,2013_3,orig
main task 1,20,2013_5,cover
main task 1,21,2013_6,cover
main task 1,22,2014_1,cover
main task 1,23,2014_2,orig
main task 1,24,2014_3,cover
main task 1,25,2014_4,cover
main task 1,26,2014_5,cover
main task 1,27,2015_1,cover
main task 1,28,2015_2,cover
main task 1,29,2015_3,orig
main task 1,30,2015_4,orig
main task 1,31,2015_5,cover
main task 1,32,2016_1,cover
main task 1,33,2016_2,orig
main task 1,34,2016_3,cover
main task 1,35,2016_4,orig
main task 1,36,2016_5,orig
main task 1,37,2017_1,cover
main task 1,38,2017_2,cover
main task 1,39,2017_3,cover
main task 1,40,2017_4,orig
main task 1,41,2017_5,orig
main task 1,42,2018_1,cover
main task 1,43,2018_2,orig
main task 1,44,2018_3,cover
main task 1,45,2018_4,orig
main task 1,46,2018_5,orig
main task 1,47,2019_1,orig
main task 1,48,2019_2,cover
main task 1,49,2019_3,cover
main task 1,50,2019_4,cover
main task 2,1,2008_2,orig
main task 2,2,2008_3,orig
main task 2,3,2009_2,cover
main task 2,4,2009_3,cover
main task 2,5,2010_1,orig
main task 2,6,2010_2,orig
main task 2,7,2010_3,orig
main task 2,8,2011_1,orig
main task 2,9,2011_2,orig
main task 2,10,2011_3,cover
main task 2,11,2011_4,cover
main task 2,12,2012_1,orig
main task 2,13,2012_2,orig
main task 2,14,2012_3,cover
main task 2,15,2012_4,orig
main task 2,16,2012_5,cover
main task 2,17,2013_1,cover
main task 2,18,2013_2,orig
main task 2,19,2013_3,cover
main task 2,20,2013_5,orig
main task 2,21,2013_6,orig
main task 2,22,2014_1,orig
main task 2,23,2014_2,cover
main task 2,24,2014_3,orig
main task 2,25,2014_4,orig
main task 2,26,2014_5,orig
main task 2,27,2015_1,orig
main task 2,28,2015_2,orig
main task 2,29,2015_3,cover
main task 2,30,2015_4,cover
main task 2,31,2015_5,orig
main task 2,32,2016_1,orig
main task 2,33,2016_2,cover
main task 2,34,2016_3,orig
main task 2,35,2016_4,cover
main task 2,36,2016_5,cover
main task 2,37,2017_1,orig
main task 2,38,2017_2,orig
main task 2,39,2017_3,orig
main task 2,40,2017_4,cover
main task 2,41,2017_5,cover
main task 2,42,2018_1,orig
main task 2,43,2018_2,cover
main task 2,44,2018_3,orig
main task 2,45,2018_4,cover
main task 2,46,2018_5,cover
main task 2,47,2019_1,cover
main task 2,48,2019_2,orig
main task 2,49,2019_3,orig
main task 2,50,2019_4,orig