block,trial_id,song_id
main task 1,1,2008_2
main task 2,1,2008_3
main task 2,2,2009_2
main task 1,2,2009_3
main task 2,3,2010_1
main task 1,3,2010_2
main task 2,4,2010_3
main task 2,5,2011_1
main task 2,6,2011_2
main task 1,4,2011_3
main task 2,7,2011_4
main task 1,5,2012_1
main task 2,8,2012_2
main task 2,9,2012_3
main task 1,6,2012_4
main task 1,7,2012_5
main task 1,8,2013_1
main task 2,10,2013_2
main task 2,11,2013_3
main task 1,9,2013_5
main task 2,12,2013_6
main task 2,13,2014_1
main task 1,10,2014_2
main task 1,11,2014_3
main task 2,14,2014_4
main task 2,15,2014_5
main task 2,16,2015_1
main task 2,17,2015_2
main task 1,12,2015_3
main task 2,18,2015_4
main task 2,19,2015_5
main task 2,20,2016_1
main task 1,13,2016_2
main task 2,21,2016_3
main task 2,22,2016_4
main task 1,14,2016_5
main task 2,23,2017_1
main task 1,15,2017_2
main task 1,16,2017_3
main task 1,17,2017_4
main task 1,18,2017_5
main task 2,24,2018_1
main task 1,19,2018_2
main task 2,25,2018_3
main task 1,20,2018_4
main task 1,21,2018_5
main task 1,22,2019_1
main task 1,23,2019_2
main task 1,24,2019_3
main task 1,25,2019_4